price,symbol,id,side,size,timestamp_e6,cross_seq
48269.00,BTCUSD,482690000,Buy,56214,1640274379047154,4775819907
48274.50,BTCUSD,482745000,Buy,21447,1640274379047154,4775819907
48275.00,BTCUSD,482750000,Buy,56646,1640274379047154,4775819907
48280.50,BTCUSD,482805000,Buy,27759,1640274379047154,4775819907
48282.00,BTCUSD,482820000,Buy,515,1640274379047154,4775819907
48282.50,BTCUSD,482825000,Buy,50355,1640274379047154,4775819907
48283.00,BTCUSD,482830000,Buy,25,1640274379047154,4775819907
48289.00,BTCUSD,482890000,Buy,3875,1640274379047154,4775819907
48289.50,BTCUSD,482895000,Buy,50158,1640274379047154,4775819907
48296.00,BTCUSD,482960000,Buy,51975,1640274379047154,4775819907
48298.00,BTCUSD,482980000,Buy,8267,1640274379047154,4775819907
48298.50,BTCUSD,482985000,Buy,50024,1640274379047154,4775819907
48307.00,BTCUSD,483070000,Buy,2936,1640274379047154,4775819907
48307.50,BTCUSD,483075000,Buy,50170,1640274379047154,4775819907
48309.00,BTCUSD,483090000,Buy,100,1640274379047154,4775819907
48313.00,BTCUSD,483130000,Buy,62948,1640274379047154,4775819907
48318.50,BTCUSD,483185000,Buy,90000,1640274379047154,4775819907
48321.00,BTCUSD,483210000,Buy,100,1640274379047154,4775819907
48324.00,BTCUSD,483240000,Buy,75808,1640274379047154,4775819907
48329.50,BTCUSD,483295000,Buy,52090,1640274379047154,4775819907
48335.00,BTCUSD,483350000,Buy,25400,1640274379047154,4775819907
48336.00,BTCUSD,483360000,Buy,50720,1640274379047154,4775819907
48341.50,BTCUSD,483415000,Buy,74066,1640274379047154,4775819907
48347.00,BTCUSD,483470000,Buy,29009,1640274379047154,4775819907
48347.50,BTCUSD,483475000,Buy,53014,1640274379047154,4775819907
48353.00,BTCUSD,483530000,Buy,85895,1640274379047154,4775819907
48357.50,BTCUSD,483575000,Buy,100,1640274379047154,4775819907
48358.50,BTCUSD,483585000,Buy,50441,1640274379047154,4775819907
48360.50,BTCUSD,483605000,Buy,1000,1640274379047154,4775819907
48367.50,BTCUSD,483675000,Buy,3539,1640274379047154,4775819907
48368.00,BTCUSD,483680000,Buy,50150,1640274379047154,4775819907
48374.00,BTCUSD,483740000,Buy,50844,1640274379047154,4775819907
48374.50,BTCUSD,483745000,Buy,50313,1640274379047154,4775819907
48380.00,BTCUSD,483800000,Buy,88942,1640274379047154,4775819907
48387.50,BTCUSD,483875000,Buy,4757,1640274379047154,4775819907
48388.00,BTCUSD,483880000,Buy,1909,1640274379047154,4775819907
48388.50,BTCUSD,483885000,Buy,50862,1640274379047154,4775819907
48390.00,BTCUSD,483900000,Buy,100,1640274379047154,4775819907
48394.00,BTCUSD,483940000,Buy,67848,1640274379047154,4775819907
48400.50,BTCUSD,484005000,Buy,2667,1640274379047154,4775819907
48401.00,BTCUSD,484010000,Buy,50878,1640274379047154,4775819907
48402.00,BTCUSD,484020000,Buy,150,1640274379047154,4775819907
48405.00,BTCUSD,484050000,Buy,25,1640274379047154,4775819907
48406.50,BTCUSD,484065000,Buy,81441,1640274379047154,4775819907
